PlayerName,prog_1,prog_2,prog_3,prog_4,prog_5,prog_6,prog_7,prog_8,prog_9,prog_10,prog_11,prog_12,prog_13,prog_14,prog_15,prog_16,prog_17,prog_18,prog_19,prog_20,prog_21,prog_22,prog_23,prog_24,prog_25,prog_26,prog_27,prog_28,prog_29,prog_30,prog_31,prog_32,prog_33,prog_34,prog_35,prog_36,prog_37,prog_38,prog_39,prog_40,prog_41,prog_42,prog_43,prog_44,prog_45,prog_46,prog_47,prog_48,prog_49,prog_50,prog_51,prog_52,prog_53,prog_54
Landau Mitch,3.9458,3.9691,3.9418,3.9169,3.8919,3.8748,3.8583,3.8456,3.8336,3.8033,3.7911,3.75,3.7417,3.6948,3.689,3.7256,3.7178,3.6707,3.677,3.6431,3.6374,3.6546,3.6742,3.6498,3.6273,3.6498,3.6275,3.6224,3.6109,3.6058,3.5967,3.5924,3.5849,3.5807,3.5783,3.5734,3.5711,3.5658,3.5637,3.5576,3.5918,3.5998,3.5604,3.5688,3.5329,3.5321,3.5296,3.5289,3.5259,3.5253,3.5229,,,
Hall Jamie,4.4196,4.3729,4.4092,4.3995,4.3567,4.3494,4.3207,4.3148,4.2894,4.3265,4.2774,4.2396,4.2063,4.1772,4.1552,4.1186,4.0894,4.1365,4.1688,4.2027,4.1638,4.1166,4.1131,4.0811,4.0785,4.1002,4.0976,4.0918,4.1037,4.0982,4.1087,4.114,4.1001,4.061,4.059,4.0144,4.0127,3.9708,3.9695,3.9635,3.9576,3.9525,3.9462,3.9417,3.9353,3.9519,3.906,3.8895,3.8601,3.8801,3.8506,,,
Williams James (Jim),4.5268,4.5562,4.5969,4.5743,4.5428,4.5428,4.5132,4.5399,4.5023,4.4784,4.4312,4.4622,4.5077,4.4819,4.4323,4.4127,4.4484,4.4274,4.4026,4.3627,4.3444,4.3751,4.3935,4.3532,4.3753,4.3682,4.3872,4.3796,4.3962,4.389,4.4145,4.3986,4.4267,4.412,4.4435,4.4295,4.4431,4.4012,4.384,4.4196,4.4341,4.3843,4.363,4.3197,4.2945,4.3292,4.2994,4.2634,4.2192,4.2033,4.1655,4.1544,4.1796,4.1672
Armstrong Janna,3.7896,3.7505,3.7352,3.7602,3.7466,3.7466,3.7943,3.7757,3.8114,3.8285,3.8036,3.8227,3.8625,3.902,3.9506,3.9994,4.0303,4.0673,4.0921,4.0854,4.1037,4.0977,4.0793,4.0861,4.1077,4.1124,4.0909,4.0955,4.0734,4.0779,4.1147,4.1563,4.1786,4.13,4.1504,4.1863,4.1442,4.1744,4.2191,4.2617,4.2265,4.276,4.298,4.2998,4.28,4.282,4.3056,4.3073,,,,,,
Stephens Jan,3.511,3.4923,3.476,3.4448,3.4308,3.4061,3.3925,3.3723,3.3593,3.3896,3.4195,3.4606,3.4213,3.4682,3.5056,3.4986,3.4762,3.4712,3.4513,3.4463,3.4284,3.4174,3.4076,3.418,3.4095,3.3978,3.3909,3.3926,3.383,3.3815,3.3707,3.3722,3.3639,3.403,3.3717,3.4163,3.4439,3.4858,3.4459,3.406,3.3718,3.4002,3.4396,3.4013,3.4372,3.4318,3.4287,3.423,3.4258,3.4198,3.4171,,,
Hill Jennifer,3.6304,3.6771,3.6408,3.6835,3.7085,3.7547,3.7712,3.8069,3.8189,3.807,3.8397,3.8295,3.8051,3.8194,3.7893,3.8176,3.7767,3.7459,3.7746,3.7351,3.7051,3.7161,3.6975,3.6871,3.6696,3.6813,3.6675,3.709,3.6971,3.7456,3.7351,3.6923,3.7062,3.727,3.7135,3.6924,3.6765,3.7,3.684,3.6901,3.651,3.643,3.6081,3.5997,3.5764,3.5633,3.5869,3.5741,3.5461,3.5357,3.5124,,,
Doran Jim,4.5849,4.6342,4.6615,4.6929,4.6929,4.6929,4.7238,4.7424,4.763,4.7459,4.7251,4.706,4.7443,4.7701,4.7457,4.7653,4.7425,4.7635,4.7224,4.7179,4.684,4.6897,4.664,4.6576,4.7076,4.6622,4.6235,4.6334,4.6003,4.5905,4.5454,4.5573,4.5981,,,,,,,,,,,,,,,,,,,,,
Witt Janice,3.7456,3.6989,3.7352,3.7255,3.6827,3.6754,3.6467,3.6408,3.6154,3.6525,3.6034,3.5656,3.5323,3.5032,3.4812,3.4446,3.4154,3.4625,3.4948,3.5287,3.4898,3.4426,3.4391,3.4071,3.4045,3.4262,3.4236,3.4178,3.4297,3.4242,3.4347,3.44,3.4261,3.387,3.385,3.3404,3.3387,3.2968,3.2955,3.2895,3.2836,3.2785,3.2722,3.2677,3.2613,,,,,,,,,
Baraga Joan,3.7724,3.7332,3.7642,3.8134,3.8615,3.8313,3.871,3.9008,3.8698,3.8225,3.7898,3.7555,3.7799,3.8086,3.8387,3.8193,3.8417,3.824,3.8439,3.8276,3.8455,3.8771,3.8994,3.9221,3.9377,3.9552,3.967,3.9712,3.9264,3.9313,3.8992,3.9045,3.8761,3.8459,3.8924,3.9245,3.969,3.9918,3.9638,3.9769,3.98,3.9928,3.99,4.0004,4.0031,,,,,,,,,
Hurst John (Jack),4.2503,4.2236,4.2072,4.2311,4.2135,4.1825,4.2322,4.2241,4.2616,4.2534,4.2827,4.2735,4.2392,4.2633,4.2374,4.2673,4.2404,4.2769,4.304,4.2584,4.2328,4.2635,4.237,4.205,4.1727,4.1577,4.1818,4.1651,4.1375,4.1218,4.1104,4.0926,4.0844,4.0718,4.0654,4.056,4.0773,4.0394,4.0646,4.0991,4.1289,4.176,,,,,,,,,,,,
Hartman Julia,3.9708,3.93,3.8979,3.9398,3.8917,3.8506,3.8109,3.8368,3.8678,3.8307,3.85,3.8878,3.8639,3.893,3.8694,3.8411,3.8834,3.9142,3.9637,4.0032,3.9727,4.0041,4.0139,4.037,4.0455,4.066,4.0729,4.078,4.0576,4.0627,4.0804,4.0847,4.1054,4.0588,4.0168,3.9835,3.9408,3.9615,3.9995,4.0297,4.0356,4.0035,4.0098,3.987,3.9934,4.0347,4.0492,4.0791,4.0913,4.1159,4.1251,,,
O'Connor Kathleen,4.0267,3.9774,3.9283,3.8969,3.936,3.936,3.9543,3.9276,3.9112,3.9351,3.9175,3.8865,3.9362,3.9281,3.9656,3.9574,3.9867,3.9775,3.9432,3.9673,3.9414,3.9713,3.9444,3.9809,4.008,3.9624,3.9368,3.9675,3.941,3.909,3.8767,3.8617,3.8858,3.8691,3.8415,3.8258,3.8144,3.7966,3.7884,3.7758,3.7694,3.76,3.7813,3.7434,3.7686,3.8031,3.8329,3.88,,,,,,
Engel Kaylene,4.5677,4.5741,4.5814,4.5879,4.5938,4.6003,4.6281,4.6316,4.6573,4.6599,4.6783,4.6809,4.6827,4.6842,4.6858,4.6871,4.6886,4.6901,4.6426,4.6885,4.735,4.7644,4.7245,4.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McLain Kimberly (Kim),4.0497,4.0256,3.9837,3.9538,3.9216,3.8851,3.8825,3.8376,3.836,3.8787,3.877,3.8309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
